our_stage1_rank,ticker,category,sector,fcf_yield_ttm,fcf_yield_q_ann,signal_70d_return,stage2_rank,net_debt_to_mcap,domestic_mcap_rank,global_marketcap_rank,marketcap_ffill,avg_10d_dollar_volume,combined_10d_dollar_volume,revenue_screen_ratio_max,revenue_quarterly,close_price,close_adj_price
74,KRB,Domestic Common Stock,Financial Services,0.08131103363687471,-0.11779348050664289,0.022454493113069907,73.0,0.16419041029951784,74,88,30855222074.833183,105484536.2,105484536.2,37.8415665003488,2298317000,24.15,24.15
75,PPL,Domestic Common Stock Primary Class,Utilities,0.08108367525594608,0.20019279821812894,-0.002395378328871711,66.0,0.9720305209779391,310,347,7153104471.019486,30154518.5,30154518.5,30.55214228545663,1456000000,39.96,19.98
76,UCL1,Domestic Common Stock,Energy,0.08001790462762191,0.15180030863988356,0.13972258961576345,160.0,0.3200277101196905,261,296,8985488977.073309,45377866.8,45377866.8,52.88034044272423,1541000000,34.7,34.7
77,UNH,Domestic Common Stock,Healthcare,0.07967256500232942,0.06955338070139047,0.0689041311063403,107.0,-0.010876864097062846,73,87,31227813487.958588,113475859.0,113475859.0,119.17296801508435,7238000000,53.23,26.615
78,LNCR,Domestic Common Stock,Healthcare,0.07954357486480913,0.0852090865000859,-0.11361673107524439,21.0,0.10265998574554751,613,664,3069625678.9437156,82687144.13250002,82687144.13250002,4.880735444458238,296268000,31.21,20.807
79,HES,Domestic Common Stock Primary Class,Energy,0.07901586149148905,-0.18340583061686472,0.04897654760918191,90.0,0.9292884325797474,461,504,4492768835.257688,62179742.2,62179742.2,82.52167674684874,3296000000,49.99,16.663
80,MEL,Domestic Common Stock,Financial Services,0.0787612792666894,0.18412905594400708,-0.026578530606624295,50.0,0.22349294070370046,172,199,13229851136.263784,81736646.5,81736646.5,27.39738147365263,1058000000,30.75,30.75
81,WLP1,Domestic Common Stock,Healthcare,0.0785559914697218,0.09165142540457062,0.18354430379746867,177.0,0.01487705144175304,163,190,14206478450.853067,108516073.29799998,108516073.29799998,83.13144350164038,5049009000,93.5,93.5
82,DVN,Domestic Common Stock,Energy,0.07799843388579986,0.10217714511095512,0.03686429849220496,81.0,0.693028924361873,184,212,12448967903.915531,74685756.0,74685756.0,32.091459914012475,1948000000,53.53,26.765
83,DE,Domestic Common Stock,Industrials,0.0772321522494771,0.27057568628377004,0.10388178209086929,133.0,0.8251115509087888,155,181,14820252532.943615,72275527.0,72275527.0,96.8013516862526,4401600000,61.49,30.745
84,HSH,Domestic Common Stock,Consumer Defensive,0.07720540442042136,0.05550475630541773,0.0888737201365184,121.0,0.3602210350387136,142,165,16358958410.76545,33962248.1893,33962248.1893,128.3673921768302,4666000000,20.7,103.5
85,CDNS,Domestic Common Stock,Technology,0.07681581408038693,0.05958937172467923,0.14107883817427402,161.0,0.006087543069789363,472,515,4340304193.757503,36581998.2,36581998.2,7.7743365476720205,268476000,16.5,16.5
86,PPG,Domestic Common Stock,Basic Materials,0.07648677187740736,0.12092921039969144,0.11285418946856396,145.0,0.14735014055653606,225,255,10485473243.470673,43315567.5,43315567.5,47.176129167172974,2206000000,61.24,30.62
87,TYC,Domestic Common Stock,Industrials,0.0760889671638969,0.09018256472683817,0.170493128536783,173.0,0.43381210561375255,49,58,48603629906.47534,501112446.0,501112446.0,191.5452815834995,9412600000,24.32,97.28
88,COP,Domestic Common Stock,Energy,0.07533293981898846,0.055762460791279715,0.0683446272991286,106.0,0.4701758703037223,60,69,41031187783.55283,172967240.0,172967240.0,461.5338645330144,26493000000,60.27,30.135
89,BDK,Domestic Common Stock,Industrials,0.07529905784694622,0.14558173622003492,0.11401138539835864,147.0,0.19610933049353574,516,562,3747722854.296572,25460792.1,25460792.1,28.77675014691979,1143800000,48.0,48.0
90,JNY,Domestic Common Stock,Consumer Cyclical,0.0749560956468124,-0.057819016125175364,0.006109349624932703,69.0,0.18596623143695615,491,536,4026356994.6607065,34039706.8,34039706.8,24.756728618411575,1180500000,31.87,31.87
91,CSC,Domestic Common Stock,Technology,0.07456281080195899,0.11764839165242869,-0.055974805395448635,34.0,0.28385345521491206,286,322,7796111677.494962,47504684.1,47504684.1,59.56853868209046,3591200000,41.62,41.62
92,ESRX,Domestic Common Stock,Healthcare,0.07450482117648582,0.12461544118481016,-0.05079090459713398,38.0,0.038110899026330906,433,476,4825982994.4196825,61193876.23999999,61193876.23999999,61.00721336940404,3248602000,61.45,7.681
93,AZO,Domestic Common Stock,Consumer Cyclical,0.07447023104538819,0.19053999340429767,-0.12429070274989096,18.0,0.16759533621399333,312,349,7123061021.211243,179313220.4,179313220.4,32.569774919189335,1829347000,80.25,80.25
94,GAP,Domestic Common Stock,Consumer Cyclical,0.07417499492233703,0.05797230238859742,-0.01597498098216621,54.0,-0.026746715016496263,120,141,18516428635.256947,85326496.0,85326496.0,89.98422644393327,3929456000,20.67,20.67
95,KR,Domestic Common Stock,Consumer Defensive,0.07376205582935424,0.14582131498688708,-0.10345869204047742,27.0,0.5728496671758375,175,203,12919921893.239119,55057524.0,55057524.0,296.40633874507853,12351000000,17.34,8.67
96,GD,Domestic Common Stock,Industrials,0.07372763882536716,0.07710079877162579,-0.028169014084507227,49.0,0.23257795069234416,139,162,16601643827.211018,66660811.0,66660811.0,76.60176837267274,4427000000,83.96,41.98
97,FCX,Domestic Common Stock Primary Class,Basic Materials,0.07365514201430538,0.08279696705998553,0.4202374222724701,199.0,0.27012078336431844,300,337,7326983361.1234455,104217124.0,104217124.0,11.996487443279397,631990000,42.87,21.435
98,SFA,Domestic Common Stock,Technology,0.07342705209976909,0.035331421506896166,-0.2689155548096561,2.0,-0.07925553499003435,498,543,3979800245.86768,38746646.8,38746646.8,12.950966388480376,395636000,26.2,26.2
99,PNR,Domestic Common Stock Primary Class,Industrials,0.07328185314778186,0.15923932830517143,0.07717671303451867,115.0,0.2992710396900957,782,838,2258035146.3861504,24476968.0,24476968.0,16.58120948244713,685014000,45.73,22.865
100,AV1,Domestic Common Stock,Technology,0.07324416475447516,0.00753637708084632,0.06011450381679362,98.0,0.04131372501720523,477,520,4246072039.22,86831562.0,86831562.0,40.34241277080189,1072000000,11.11,11.11
101,MFE,Domestic Common Stock,Technology,0.07272355974425809,0.10184319293449542,-0.04961020552799422,41.0,-0.010278278108113078,804,862,2164896775.5931478,28591768.1,28591768.1,6.113141585102253,226854000,13.41,13.41
102,CBE,Domestic Common Stock,Technology,0.07259635391468865,0.09469089641046345,0.07382812500000013,112.0,0.2047940699055585,407,450,5132489166.575219,25899327.5,25899327.5,33.65959430502566,1048700000,54.98,27.49
